log_loss,brier,p@10%,p@5%,auc_any,auc_side,auc_ovr,model,test_season
0.9132144438774116,0.5328837307177774,0.3486238532110092,0.3235294117647059,0.4998371738592401,0.5686531708744493,0.5270643904721413,A+rec. cumulative + recent,2025-26
0.9699201982794448,0.5771394423232233,0.4332129963898917,0.4657039711191336,0.5034254700398731,0.6262534694242994,0.5551435336669571,E. Elo only,2023-24
0.9293435236612886,0.5480933434015555,0.4236983842010772,0.4316546762589928,0.5305042142570459,0.6529075322238821,0.5744500482445715,E. Elo only,2024-25
0.9112013912555782,0.5318753207150284,0.3321100917431193,0.3125,0.510383314445501,0.6012011688586152,0.5460211084440092,E. Elo only,2025-26
0.9659905153677179,0.5750455285648004,0.4548736462093863,0.48375451263537905,0.5216765773913266,0.6509506439193735,0.5701977660476588,A+E. counts + Elo,2023-24
0.9270567241713333,0.547738175501664,0.39317773788150806,0.35611510791366907,0.5277406276147781,0.6641819824201786,0.5781123588979917,A+E. counts + Elo,2024-25
0.9098932957742945,0.5313981176317415,0.3504587155963303,0.36764705882352944,0.5056141729662291,0.6088580869084583,0.545775884980085,A+E. counts + Elo,2025-26
0.9767632422909448,0.5800083256941968,0.4296028880866426,0.4259927797833935,0.5035373874582352,0.5228924240192468,0.5088231776273748,B-tfidf. last 3 lines,2023-24
0.9418406871967865,0.5533706346640331,0.4506283662477558,0.44964028776978415,0.5163522016857027,0.5145346211305284,0.5161840891182147,B-tfidf. last 3 lines,2024-25
0.9123097710363386,0.5314374385465817,0.41651376146788993,0.4889705882352941,0.5188985426698566,0.48954794108562416,0.5115701012389483,B-tfidf. last 3 lines,2025-26
0.9767943011674719,0.5799457250703941,0.45126353790613716,0.49458483754512633,0.5052978451280787,0.5252397910114113,0.5143529995583601,B-tfidf. last 10 lines,2023-24
0.9428759729372594,0.5538025808561345,0.4129263913824057,0.43884892086330934,0.5125130441289515,0.5124370288017233,0.5119093054261298,B-tfidf. last 10 lines,2024-25
0.9122274628739514,0.5317909587548495,0.344954128440367,0.34191176470588236,0.5056984807235559,0.5198860403491945,0.513382466399881,B-tfidf. last 10 lines,2025-26
0.9760972529241017,0.57970155869409,0.42057761732851984,0.3862815884476534,0.5067436720496841,0.5449934871577147,0.520190164309981,B-tfidf. last 20 lines,2023-24
0.9425354150996822,0.5537181051871823,0.42010771992818674,0.4172661870503597,0.5128563070999517,0.49390178230205334,0.5055907473124085,B-tfidf. last 20 lines,2024-25
0.9127449917551154,0.5322379183298167,0.3614678899082569,0.33088235294117646,0.48248656503420795,0.524779314941557,0.49436994050092037,B-tfidf. last 20 lines,2025-26
0.9785261385482695,0.5806320378235714,0.4548736462093863,0.48375451263537905,0.4968344971859245,0.48528039879967305,0.4921400164443763,"B. last 20 lines, embeddings",2023-24
0.9438002835529703,0.5548794670783276,0.3859964093357271,0.36330935251798563,0.5112893789838164,0.504516554910885,0.5121944684587603,"B. last 20 lines, embeddings",2024-25
0.9130711862175686,0.5320245939976994,0.3614678899082569,0.38235294117647056,0.4966364461349416,0.4752994285760733,0.48787476550605846,"B. last 20 lines, embeddings",2025-26
0.9772981009580298,0.5803184547984074,0.4007220216606498,0.4259927797833935,0.4913015922693691,0.5159774028922218,0.5037489117917091,"B-mlp. embeddings, PyTorch head",2023-24
0.943151605725119,0.5542213507808537,0.3877917414721723,0.4028776978417266,0.5073045081325978,0.5076885661675294,0.5052482798074801,"B-mlp. embeddings, PyTorch head",2024-25
0.9128606189007598,0.5320165082896008,0.3467889908256881,0.3382352941176471,0.4911955925496547,0.490127594979923,0.49483189269622496,"B-mlp. embeddings, PyTorch head",2025-26
0.9780687422988298,0.5805967310539328,0.40613718411552346,0.4296028880866426,0.49716878820468785,0.4641598722269877,0.4889765468553254,A+B. counts + embeddings,2023-24
0.941743542328125,0.5537290728498272,0.3859964093357271,0.3776978417266187,0.5124629084155891,0.5341060695549456,0.5237314121326808,A+B. counts + embeddings,2024-25
0.9125144485151698,0.5323158106103142,0.3669724770642202,0.35294117647058826,0.4889450458156577,0.5498522670004714,0.5128562666040823,A+B. counts + embeddings,2025-26
0.9563339006169724,0.5687564482099597,0.51985559566787,0.5306859205776173,0.5695282810334713,0.6486321587111792,0.5958164256617353,C. CEILING (sees future events),2023-24
0.9211033343733324,0.5439679760845354,0.45601436265709155,0.4028776978417266,0.5710637342603112,0.6609543827954,0.5989800879414692,C. CEILING (sees future events),2024-25
0.8917596758254047,0.5212935583738645,0.48990825688073397,0.5330882352941176,0.5755058827275478,0.6431638434152129,0.5960687164567009,C. CEILING (sees future events),2025-26
0.9534518856942362,0.5676961778780144,0.51985559566787,0.555956678700361,0.5580233032655179,0.6826722292982593,0.5994609358076056,C+. CEILING + counts + Elo,2023-24
0.9125416018923848,0.5410261648405447,0.4362657091561939,0.4568345323741007,0.5649637757566275,0.7091494979675503,0.6135686528283747,C+. CEILING + counts + Elo,2024-25
0.894779680713112,0.5242135342324669,0.44036697247706424,0.4889705882352941,0.5485993333535961,0.6693351405393981,0.5917880264658778,C+. CEILING + counts + Elo,2025-26
